adminCode,adminCode2,Dong,salary_23,salary_45,salary_6a,salary_male,salary_female,salary_avg,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_01,sales_23,sales_45,sales_6ab,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_교육 서비스업,workers_금융 및 보험업,workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_01,popLiv_23,popLiv_45,popLiv_6a,popLiv_total,popLiv_male,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_01,popReg_23,popReg_45,popReg_6a,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11140570,1102057,필동,6191,4380.5,3711,4156,3397,3828,3785260196,1487921591,268173273,638224879,799356296,115851383,3948458083,82195760674,63478550539,17648175705,1.67E+11,8205,92938,128235,93590,322968,9,232,1235,2782,1136,1875,2442,1255,384,2431,1826,528,224,2705,4763,587,24430,1107,5250,4022,14321,12570,6769,5585,7710,13554,18327,10690,4845,376,2161,1102,1207,3973,872,2078,1904,375,399,774,3326,2493,833,75,330,1071,1245,458,147,2315,825,133,43,10,2156
11140580,1102058,장충동,6140,4505.5,3625,4058,3401,3759,1126178823,1461406385,178402621,389842773,151426165,10103226,745064532,28549741599,26870238698,17164600608,73329645437,33523,452370,670070,385718,1541681,13,502,43,110,78,1331,493,63,261,208,2462,408,45,983,438,342,7962,945,5254,3956,13988,12414,6143,5932,8505,13258,16601,11293,5384,497,2483,1241,1163,4603,781,2412,2172,391,197,588,908,654,254,11,79,252,328,164,74,544,274,50,32,8,1308
11140590,1102059,광희동,6898,4455,3808,4522,3542,4105,5538942734,17080478634,2346349126,524013999,1307146749,0,7305651362,3.50E+11,2.89E+11,85768497254,7.32E+11,45920,221778,598569,527145,1393412,20,256,1126,230,1501,13041,992,1237,940,1562,2650,165,714,4155,6810,678,36057,1376,9192,8112,26658,23658,11894,10779,14909,24313,33681,21729,7013,424,3218,1704,1667,5551,1462,2608,2588,450,1206,1656,9459,6261,3198,227,1239,2518,3365,1656,454,8316,1026,72,37,8,2443
11140605,1102060,을지로동,5764,4217.5,3525,3991,3301,3764,3456041205,2782222038,118637098,904713913,1340607319,1765277,578121303,69714801110,1.08E+11,48855186065,2.27E+11,15435,198986,698367,747315,1660103,16,282,555,128,2311,9171,1385,797,402,1815,1962,139,502,1753,8701,581,30484,576,5824,7439,21689,18515,10678,7089,6914,21707,30570,14867,2260,144,855,588,673,2012,248,1018,640,101,257,358,10028,7886,2142,111,705,2497,4068,1992,655,8868,1018,88,49,5,1671
11140615,1102069,신당동,5897,4145.5,3348,3842,3319,3595,2278546186,3368233380,100817560,841872221,897175504,12419764,1680904841,70943162036,71426346190,21974234188,1.66E+11,23665,225422,302052,236541,787680,8,22,538,522,404,20183,105,217,846,1098,975,151,254,421,1558,220,27541,1251,8385,8155,26795,23048,11096,11201,22168,23285,23954,22786,9072,571,3683,2577,2242,7573,1499,3761,3893,968,973,1941,12641,6163,6478,460,3734,3849,3115,1210,273,12134,419,35,41,12,3333
11140625,1102070,다산동,5967,4235.5,3393,3935,3386,3672,2128006824,1274449029,367757004,282436749,1011792392,296061450,1192745335,57167464010,54650593788,17501647333,1.31E+11,4768,40449,36849,21875,103941,8,339,15,408,88,1591,340,336,232,2582,595,68,86,1041,598,298,8623,1938,4956,4635,18592,15299,7203,7860,14753,15730,15656,15058,13926,1228,4627,4081,3993,13450,476,6533,6959,865,472,1337,1430,979,451,24,221,423,487,199,76,1069,277,32,48,4,3383
11140635,1102071,약수동,6485,5038,3905,4782,3819,4329,1194148382,1765959561,97555476,299604762,1126011813,410584502,749400671,35961287562,56819006609,26451310175,1.20E+11,12098,223630,239779,175228,650735,12,78,80,177,44,725,60,664,233,106,385,78,45,77,133,158,3065,1820,4029,4486,18482,14501,6571,7841,15389,14047,13269,15301,16533,1833,4170,5044,5491,16317,216,7587,8825,168,5344,5512,906,541,365,9,109,288,274,171,55,725,128,24,22,7,4737
11140645,1102072,청구동,6363,4695.5,3808,4495,3641,4092,447443805,1244846367,26086400,381752472,338510951,169883090,512626964,22235137455,26658022747,7968804429,57374591595,13519,168634,208480,187573,578206,5,181,16,420,32,704,99,137,67,1361,253,79,31,105,422,124,4036,1913,3187,3272,13748,11052,5186,5877,13021,11117,9270,10802,13395,1462,3955,3965,4016,13147,248,6285,6971,484,3844,4328,813,545,268,17,119,263,254,122,38,670,106,17,18,2,3571
11140650,1102065,신당5동,6112,4313,3417,4108,3433,3789,1463025545,1171670777,179116926,242419082,871772829,39390780,858800071,27341405205,48733029434,20245016878,97178251588,3950,38790,68147,64411,175298,9,74,393,266,111,927,32,245,78,46,537,91,59,57,915,228,4059,884,2536,2691,9982,8170,3784,4265,8182,7795,7907,8795,10472,1011,3441,3307,2716,10148,324,4920,5241,607,2279,2886,1346,870,476,42,183,368,483,197,73,1197,105,15,25,4,2973
11140665,1102073,동화동,6540,4833,3913,4652,3807,4256,688861949,1040192007,36333559,317295978,443017380,286505443,628109663,22216813754,36441686298,9444111749,68730721464,4510,82836,88128,74980,250454,4,58,20,252,63,1042,59,151,145,24,250,68,14,58,1396,204,3804,1393,3169,3615,13966,11080,5217,5858,11456,10932,10805,11127,10184,1403,2554,3310,2918,10002,182,4830,5218,224,2610,2834,932,637,295,21,152,316,289,122,32,797,101,13,17,4,2894
