salary_avg,house_total,business_total,sales_sum,transport_sum,bus_sum,workers_total,popLiv_total,popReg_total,business_total.1,car_total,adminCode,adminCode2,Dong,Cluster
4009,6211,250,67851053617.0,175271,15,1427,12999,18317,611,5448,11320681,1110054,쌍문4동,0
3798,5565,1587,257000000000.0,477526,32,9700,22761,28345,2346,10216,11320690,1110055,방학1동,3
3301,1306,699,84315902794.0,131170,20,2137,11878,19185,1222,4880,11320700,1110056,방학2동,2
4009,9302,276,74799180980.0,261546,29,2540,21323,26471,863,8435,11320710,1110057,방학3동,3
3801,5141,841,186000000000.0,384449,45,4735,22497,21535,1421,6905,11350560,1111051,월계1동,0
3658,10997,366,51762307337.0,358317,38,3069,19734,26060,971,7851,11350570,1111052,월계2동,3
3924,12662,360,65456194145.0,358733,24,3155,24294,29193,945,8872,11350580,1111053,월계3동,3
3669,9866,1768,266000000000.0,1079321,48,10103,42044,37145,2705,11093,11350595,1111079,공릉1동,5
4044,11418,958,212000000000.0,702749,59,10675,45782,42672,1884,12122,11350600,1111056,공릉2동,5
4233,9435,588,120000000000.0,688522,35,6722,24596,27539,985,7535,11350611,1111058,하계1동,3
4257,9151,153,41386446664.0,2792753,20,808,17968,21525,370,6245,11350612,1111059,하계2동,3
4607,6925,745,185000000000.0,130912,19,4604,20216,23314,1161,7870,11350619,1111060,중계본동,0
4855,9563,552,203000000000.0,688039,18,3862,24872,26504,940,8500,11350621,1111061,중계1동,3
4018,7412,684,157000000000.0,241391,6,3293,16308,19522,1037,5771,11350624,1111064,중계4동,0
3803,14794,837,175000000000.0,201369,32,4811,33154,33274,1345,8582,11350625,1111078,중계2.3동,3
3945,11228,1029,228000000000.0,601724,29,8081,36576,37724,3018,13770,11350630,1111065,상계1동,5
3941,4582,2033,486000000000.0,1527740,25,9012,29722,19623,2456,6154,11350640,1111066,상계2동,0
3547,6718,860,72325481543.0,326140,22,3707,20101,25187,1635,8076,11350665,1111076,상계3.4동,0
3600,5177,835,106000000000.0,689817,22,2920,18038,23568,1353,5907,11350670,1111069,상계5동,0
3968,14196,1399,320000000000.0,344471,32,14539,45576,32036,1889,8990,11350695,1111077,상계6.7동,5
3849,10016,312,83860928244.0,450776,16,1705,18486,22225,558,6529,11350700,1111072,상계8동,0
3907,8527,328,66116495690.0,112647,21,1975,17777,19969,696,5802,11350710,1111073,상계9동,0
3924,6695,206,31112574600.0,195934,24,1875,13375,18374,458,5355,11350720,1111074,상계10동,0
3608,6264,874,131000000000.0,922609,27,7997,33683,36747,1850,10504,11380510,1112051,녹번동,3
4025,8393,1033,164000000000.0,579742,34,6036,29558,38105,1684,10440,11380520,1112052,불광1동,3
3547,2500,813,224000000000.0,324077,25,3646,21208,27331,1322,6472,11380530,1112072,불광2동,0
3524,2410,1006,214000000000.0,1244950,43,4750,21508,15401,1402,5515,11380551,1112055,갈현1동,0
3551,2336,1047,207000000000.0,503518,32,5499,22472,28106,1541,7545,11380552,1112056,갈현2동,0
3658,3383,486,86692900101.0,288751,31,4722,24914,31967,1205,9398,11380560,1112057,구산동,3
3451,3251,1907,374000000000.0,960780,28,7063,42459,27657,2522,6024,11380570,1112058,대조동,3
3580,3369,1091,221000000000.0,516008,22,6994,23421,33266,1692,9301,11380580,1112059,응암1동,3
3909,7951,421,21551959311.0,185338,34,1758,16166,27917,684,8461,11380590,1112060,응암2동,3
3509,2219,1266,255000000000.0,331718,25,4567,25355,24145,1771,5754,11380600,1112073,응암3동,0
3615,3270,1383,294000000000.0,418262,48,6585,41536,44894,2521,12257,11380625,1112074,역촌동,5
3637,3588,582,120000000000.0,777619,21,3063,23561,26945,1249,8054,11380631,1112065,신사1동,0
3745,3450,332,53647548460.0,538315,31,2041,13002,19369,1599,6307,11380632,1112066,신사2동,0
3755,2628,650,97465486094.0,1264232,13,3609,15684,18678,1146,4635,11380640,1112067,증산동,2
4452,2472,440,32426057004.0,228067,18,2447,11069,13195,735,4012,11380650,1112068,수색동,2
4345,16891,521,238000000000.0,1314494,69,5293,59772,55043,1256,18022,11380690,1112071,진관동,5
3688,5631,628,78909842060.0,398968,37,2387,16686,16895,902,4908,11410520,1113052,천연동,0
3872,4801,485,84168191050.0,210649,14,1799,40318,15833,750,4465,11410555,1113074,북아현동,0
3652,4547,1484,153000000000.0,251130,44,21120,40793,20279,1822,6968,11410565,1113073,충현동,3
3893,2679,3542,905000000000.0,2439218,49,32752,59413,26455,3747,3996,11410585,1113075,신촌동,1
