"동별","연령별","항목","단위","2023. 1/4",
"무악동","25~29세","계","","397",
"무악동","25~29세","한국인","","396",
"무악동","25~29세","외국인","","1",
"무악동","30~34세","계","","372",
"무악동","30~34세","한국인","","368",
"무악동","30~34세","외국인","","4",
"무악동","35~39세","계","","484",
"무악동","35~39세","한국인","","478",
"무악동","35~39세","외국인","","6",
"무악동","40~44세","계","","623",
"무악동","40~44세","한국인","","620",
"무악동","40~44세","외국인","","3",
"무악동","45~49세","계","","683",
"무악동","45~49세","한국인","","679",
"무악동","45~49세","외국인","","4",
"무악동","50~54세","계","","853",
"무악동","50~54세","한국인","","848",
"무악동","50~54세","외국인","","5",
"무악동","55~59세","계","","591",
"무악동","55~59세","한국인","","589",
"무악동","55~59세","외국인","","2",
"무악동","60~64세","계","","602",
"무악동","60~64세","한국인","","600",
"무악동","60~64세","외국인","","2",
"무악동","65~69세","계","","475",
"무악동","65~69세","한국인","","475",
"무악동","65~69세","외국인","","0",
"무악동","70~74세","계","","329",
"무악동","70~74세","한국인","","329",
"무악동","70~74세","외국인","","0",
"무악동","75~79세","계","","260",
"무악동","75~79세","한국인","","260",
"무악동","75~79세","외국인","","0",
"무악동","80~84세","계","","271",
"무악동","80~84세","한국인","","271",
"무악동","80~84세","외국인","","0",
"무악동","85~89세","계","","107",
"무악동","85~89세","한국인","","107",
"무악동","85~89세","외국인","","0",
"무악동","90~94세","계","","36",
"무악동","90~94세","한국인","","36",
"무악동","90~94세","외국인","","0",
"무악동","95~99세","계","","8",
"무악동","95~99세","한국인","","8",
"무악동","95~99세","외국인","","0",
"무악동","100세 이상","계","","3",
"무악동","100세 이상","한국인","","3",
"무악동","100세 이상","외국인","","0",
"교남동","계","계","","9925",
"교남동","계","한국인","","9751",
"교남동","계","외국인","","174",
"교남동","0~4세","계","","336",
"교남동","0~4세","한국인","","333",
"교남동","0~4세","외국인","","3",
"교남동","5~9세","계","","416",
"교남동","5~9세","한국인","","408",
"교남동","5~9세","외국인","","8",
"교남동","10~14세","계","","410",
"교남동","10~14세","한국인","","403",
"교남동","10~14세","외국인","","7",
"교남동","15~19세","계","","422",
"교남동","15~19세","한국인","","413",
"교남동","15~19세","외국인","","9",
"교남동","20~24세","계","","468",
"교남동","20~24세","한국인","","464",
"교남동","20~24세","외국인","","4",
"교남동","25~29세","계","","659",
"교남동","25~29세","한국인","","651",
"교남동","25~29세","외국인","","8",
"교남동","30~34세","계","","718",
"교남동","30~34세","한국인","","705",
"교남동","30~34세","외국인","","13",
"교남동","35~39세","계","","777",
"교남동","35~39세","한국인","","748",
"교남동","35~39세","외국인","","29",
"교남동","40~44세","계","","899",
"교남동","40~44세","한국인","","874",
"교남동","40~44세","외국인","","25",
"교남동","45~49세","계","","852",
"교남동","45~49세","한국인","","829",
"교남동","45~49세","외국인","","23",
"교남동","50~54세","계","","943",
"교남동","50~54세","한국인","","927",
"교남동","50~54세","외국인","","16",
"교남동","55~59세","계","","719",
"교남동","55~59세","한국인","","709",
"교남동","55~59세","외국인","","10",
"교남동","60~64세","계","","643",
"교남동","60~64세","한국인","","637",
"교남동","60~64세","외국인","","6",
"교남동","65~69세","계","","551",
"교남동","65~69세","한국인","","544",
"교남동","65~69세","외국인","","7",
"교남동","70~74세","계","","404",
"교남동","70~74세","한국인","","400",
"교남동","70~74세","외국인","","4",
"교남동","75~79세","계","","296",
"교남동","75~79세","한국인","","296",
"교남동","75~79세","외국인","","0",
"교남동","80~84세","계","","247",
"교남동","80~84세","한국인","","246",
"교남동","80~84세","외국인","","1",
"교남동","85~89세","계","","123",
"교남동","85~89세","한국인","","123",
"교남동","85~89세","외국인","","0",
"교남동","90~94세","계","","36",
"교남동","90~94세","한국인","","36",
"교남동","90~94세","외국인","","0",
"교남동","95~99세","계","","6",
"교남동","95~99세","한국인","","5",
"교남동","95~99세","외국인","","1",
"교남동","100세 이상","계","","0",
