행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
1109073,212927.0,596.0,139.0,0.0,0.0,4295.0,5118.0,8834.0,17957.0,17916.0,13599.0,12193.0,12030.0,13105.0,12835.0,13302.0,13359.0,13637.0,14351.0,12105.0,9038.0,6466.0,5362.0,4290.0,2400.0
1109074,456595.0,539.0,118.0,131.0,123.0,6367.0,9337.0,16184.0,41169.0,47559.0,31280.0,25594.0,25561.0,27932.0,29047.0,29920.0,29982.0,30978.0,30079.0,24382.0,16582.0,12337.0,10835.0,7819.0,2740.0
1109075,268709.0,507.0,95.0,1.0,0.0,4584.0,6069.0,10145.0,22392.0,26193.0,19099.0,15907.0,16564.0,15848.0,17130.0,16172.0,16223.0,17119.0,16822.0,15327.0,10929.0,7420.0,6471.0,5174.0,2518.0
1110051,239696.0,346.0,20.0,0.0,0.0,400.0,2685.0,9617.0,20829.0,23829.0,17535.0,14731.0,14424.0,14869.0,15721.0,14997.0,14967.0,17229.0,16328.0,13938.0,9592.0,6564.0,5149.0,3791.0,2135.0
1110052,280113.0,860.0,406.0,313.0,343.0,5193.0,7314.0,12293.0,25370.0,27079.0,20419.0,16584.0,16064.0,16447.0,15511.0,14744.0,16584.0,16470.0,16118.0,16000.0,10747.0,8857.0,7813.0,5890.0,2694.0
1110053,232962.0,738.0,349.0,301.0,435.0,5413.0,5130.0,6888.0,13060.0,20934.0,16109.0,12622.0,12070.0,11928.0,12616.0,12903.0,13826.0,15140.0,15158.0,14768.0,12978.0,9448.0,8387.0,7653.0,4108.0
1110054,175271.0,198.0,17.0,0.0,0.0,1093.0,3925.0,9046.0,18122.0,18727.0,12977.0,11766.0,11158.0,10370.0,9759.0,8842.0,10773.0,12836.0,10517.0,8216.0,5401.0,3965.0,3190.0,3404.0,969.0
1110055,477526.0,2269.0,820.0,349.0,337.0,3741.0,11918.0,18196.0,41477.0,44082.0,31102.0,26228.0,26203.0,29409.0,27468.0,26591.0,27648.0,29422.0,31127.0,31300.0,20858.0,15327.0,14668.0,11355.0,5631.0
1110056,131170.0,280.0,12.0,9.0,3.0,474.0,3157.0,5082.0,13544.0,14352.0,10342.0,8604.0,7705.0,8080.0,8021.0,7641.0,7425.0,7972.0,7621.0,6993.0,4852.0,3391.0,2458.0,2041.0,1111.0
1110057,261546.0,471.0,94.0,63.0,205.0,1914.0,6611.0,13700.0,30531.0,30121.0,21267.0,17276.0,15465.0,15898.0,15687.0,14454.0,14240.0,14292.0,14128.0,11215.0,8095.0,5670.0,4840.0,3694.0,1615.0
1110059,1314494.0,6613.0,651.0,125.0,66.0,1202.0,24800.0,56657.0,137802.0,144891.0,94312.0,72707.0,67817.0,70335.0,65109.0,61819.0,64432.0,72454.0,76844.0,78543.0,65064.0,46806.0,42458.0,38618.0,24369.0
1110060,215495.0,697.0,95.0,47.0,63.0,1825.0,4641.0,8788.0,22672.0,24761.0,16548.0,13070.0,12114.0,12046.0,11436.0,10971.0,11225.0,12135.0,12917.0,12488.0,9204.0,6491.0,4872.0,4074.0,2315.0
1110061,148349.0,455.0,0.0,0.0,0.0,165.0,3262.0,5601.0,14881.0,17275.0,10881.0,8823.0,8664.0,8537.0,8928.0,8418.0,8161.0,8609.0,9677.0,8146.0,5984.0,4326.0,3439.0,2674.0,1443.0
1110062,351038.0,2193.0,4.0,0.0,0.0,311.0,3045.0,8073.0,19651.0,24740.0,18689.0,15705.0,15915.0,18793.0,19836.0,19623.0,22546.0,27459.0,26515.0,29396.0,22246.0,16730.0,15832.0,14496.0,9240.0
1110063,944282.0,3498.0,335.0,80.0,91.0,1809.0,15582.0,37909.0,84166.0,85341.0,57812.0,51140.0,51263.0,54525.0,53597.0,51770.0,58054.0,64906.0,66239.0,65535.0,40097.0,31916.0,30111.0,25273.0,13233.0
1110064,306320.0,623.0,279.0,421.0,1157.0,6017.0,5270.0,9989.0,21969.0,28936.0,20971.0,16371.0,15663.0,16264.0,18236.0,17852.0,18750.0,20682.0,21209.0,22140.0,14915.0,10448.0,8831.0,7017.0,2310.0
1110065,674161.0,3263.0,580.0,52.0,17.0,721.0,14941.0,31045.0,84146.0,78177.0,49020.0,36795.0,35040.0,36900.0,37352.0,38016.0,40437.0,42707.0,39673.0,35300.0,21923.0,15014.0,13892.0,11772.0,7378.0
1111051,384449.0,2418.0,204.0,18.0,123.0,1587.0,3656.0,8105.0,20137.0,26369.0,20310.0,16078.0,17278.0,19434.0,20799.0,21667.0,24567.0,28136.0,30646.0,32476.0,25639.0,18674.0,18703.0,16379.0,11046.0
1111052,358317.0,488.0,36.0,38.0,44.0,2243.0,8455.0,15271.0,35705.0,37442.0,26056.0,21266.0,21750.0,23413.0,22050.0,21567.0,23673.0,25697.0,20956.0,16895.0,11187.0,8258.0,7355.0,5879.0,2593.0
1111053,358733.0,700.0,110.0,82.0,99.0,2911.0,6165.0,14019.0,37311.0,38192.0,22996.0,18564.0,19020.0,19652.0,20157.0,20451.0,22029.0,24120.0,23195.0,21453.0,14220.0,10808.0,10096.0,8742.0,3641.0
1111056,702749.0,1441.0,2.0,0.0,0.0,1297.0,10315.0,28190.0,79131.0,81249.0,46904.0,38672.0,38000.0,39147.0,41635.0,39511.0,40726.0,46370.0,48132.0,39257.0,24141.0,18034.0,17282.0,14978.0,8335.0
