"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
부암동,70~74세,한국인,379,1101055,부암동,11110550
부암동,70~74세,외국인,1,1101055,부암동,11110550
부암동,75~79세,계,356,1101055,부암동,11110550
부암동,75~79세,한국인,355,1101055,부암동,11110550
부암동,75~79세,외국인,1,1101055,부암동,11110550
부암동,80~84세,계,271,1101055,부암동,11110550
부암동,80~84세,한국인,271,1101055,부암동,11110550
부암동,80~84세,외국인,0,1101055,부암동,11110550
부암동,85~89세,계,150,1101055,부암동,11110550
부암동,85~89세,한국인,150,1101055,부암동,11110550
부암동,85~89세,외국인,0,1101055,부암동,11110550
부암동,90~94세,계,58,1101055,부암동,11110550
부암동,90~94세,한국인,58,1101055,부암동,11110550
부암동,90~94세,외국인,0,1101055,부암동,11110550
부암동,95~99세,계,13,1101055,부암동,11110550
부암동,95~99세,한국인,13,1101055,부암동,11110550
부암동,95~99세,외국인,0,1101055,부암동,11110550
부암동,100세 이상,계,4,1101055,부암동,11110550
부암동,100세 이상,한국인,4,1101055,부암동,11110550
부암동,100세 이상,외국인,0,1101055,부암동,11110550
평창동,계,계,17743,1101056,평창동,11110560
평창동,계,한국인,17553,1101056,평창동,11110560
평창동,계,외국인,190,1101056,평창동,11110560
평창동,0~4세,계,405,1101056,평창동,11110560
평창동,0~4세,한국인,403,1101056,평창동,11110560
평창동,0~4세,외국인,2,1101056,평창동,11110560
평창동,5~9세,계,634,1101056,평창동,11110560
평창동,5~9세,한국인,631,1101056,평창동,11110560
평창동,5~9세,외국인,3,1101056,평창동,11110560
평창동,10~14세,계,719,1101056,평창동,11110560
평창동,10~14세,한국인,716,1101056,평창동,11110560
평창동,10~14세,외국인,3,1101056,평창동,11110560
평창동,15~19세,계,822,1101056,평창동,11110560
평창동,15~19세,한국인,815,1101056,평창동,11110560
평창동,15~19세,외국인,7,1101056,평창동,11110560
평창동,20~24세,계,992,1101056,평창동,11110560
평창동,20~24세,한국인,987,1101056,평창동,11110560
평창동,20~24세,외국인,5,1101056,평창동,11110560
평창동,25~29세,계,1164,1101056,평창동,11110560
평창동,25~29세,한국인,1156,1101056,평창동,11110560
평창동,25~29세,외국인,8,1101056,평창동,11110560
평창동,30~34세,계,1032,1101056,평창동,11110560
평창동,30~34세,한국인,1013,1101056,평창동,11110560
평창동,30~34세,외국인,19,1101056,평창동,11110560
평창동,35~39세,계,1071,1101056,평창동,11110560
평창동,35~39세,한국인,1054,1101056,평창동,11110560
평창동,35~39세,외국인,17,1101056,평창동,11110560
평창동,40~44세,계,1328,1101056,평창동,11110560
평창동,40~44세,한국인,1301,1101056,평창동,11110560
평창동,40~44세,외국인,27,1101056,평창동,11110560
평창동,45~49세,계,1266,1101056,평창동,11110560
평창동,45~49세,한국인,1247,1101056,평창동,11110560
