`행정동코드`,`구분`,`평균소득(만원)`,`소득금액구간`,`금액구간별인원수비중(%)`,`정보미제공구간해당여부(Y제공불가)`,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
11110550,남성,4757,5천만원이상,40,N,1101055,부암동,11110550
11110550,여성,3771,2천만원미만,10,N,1101055,부암동,11110550
11110550,여성,3771,3천만원미만,22,N,1101055,부암동,11110550
11110550,여성,3771,4천만원미만,29,N,1101055,부암동,11110550
11110550,여성,3771,5천만원미만,24,N,1101055,부암동,11110550
11110550,여성,3771,5천만원이상,16,N,1101055,부암동,11110550
11110550,20대,2472,2천만원미만,25,N,1101055,부암동,11110550
11110550,20대,2472,3천만원미만,55,N,1101055,부암동,11110550
11110550,20대,2472,4천만원미만,13,N,1101055,부암동,11110550
11110550,20대,2472,5천만원미만,5,N,1101055,부암동,11110550
11110550,20대,2472,5천만원이상,2,N,1101055,부암동,11110550
11110550,30대,3460,2천만원미만,7,N,1101055,부암동,11110550
11110550,30대,3460,3천만원미만,29,N,1101055,부암동,11110550
11110550,30대,3460,4천만원미만,37,N,1101055,부암동,11110550
11110550,30대,3460,5천만원미만,17,N,1101055,부암동,11110550
11110550,30대,3460,5천만원이상,10,N,1101055,부암동,11110550
11110550,40대,4791,2천만원미만,4,N,1101055,부암동,11110550
11110550,40대,4791,3천만원미만,9,N,1101055,부암동,11110550
11110550,40대,4791,4천만원미만,20,N,1101055,부암동,11110550
11110550,40대,4791,5천만원미만,32,N,1101055,부암동,11110550
11110550,40대,4791,5천만원이상,35,N,1101055,부암동,11110550
11110550,50대,5026,2천만원미만,5,N,1101055,부암동,11110550
11110550,50대,5026,3천만원미만,7,N,1101055,부암동,11110550
11110550,50대,5026,4천만원미만,22,N,1101055,부암동,11110550
11110550,50대,5026,5천만원미만,21,N,1101055,부암동,11110550
11110550,50대,5026,5천만원이상,45,N,1101055,부암동,11110550
11110550,60세이상,4181,2천만원미만,9,N,1101055,부암동,11110550
11110550,60세이상,4181,3천만원미만,26,N,1101055,부암동,11110550
11110550,60세이상,4181,4천만원미만,19,N,1101055,부암동,11110550
11110550,60세이상,4181,5천만원미만,19,N,1101055,부암동,11110550
11110550,60세이상,4181,5천만원이상,26,N,1101055,부암동,11110550
11110560,전체,4840,2천만원미만,6,N,1101056,평창동,11110560
11110560,전체,4840,3천만원미만,16,N,1101056,평창동,11110560
11110560,전체,4840,4천만원미만,19,N,1101056,평창동,11110560
11110560,전체,4840,5천만원미만,20,N,1101056,평창동,11110560
11110560,전체,4840,5천만원이상,39,N,1101056,평창동,11110560
11110560,남성,5479,2천만원미만,4,N,1101056,평창동,11110560
11110560,남성,5479,3천만원미만,15,N,1101056,평창동,11110560
11110560,남성,5479,4천만원미만,13,N,1101056,평창동,11110560
11110560,남성,5479,5천만원미만,16,N,1101056,평창동,11110560
11110560,남성,5479,5천만원이상,52,N,1101056,평창동,11110560
11110560,여성,4104,2천만원미만,9,N,1101056,평창동,11110560
11110560,여성,4104,3천만원미만,18,N,1101056,평창동,11110560
11110560,여성,4104,4천만원미만,25,N,1101056,평창동,11110560
11110560,여성,4104,5천만원미만,23,N,1101056,평창동,11110560
11110560,여성,4104,5천만원이상,25,N,1101056,평창동,11110560
11110560,20대,2651,2천만원미만,22,N,1101056,평창동,11110560
11110560,20대,2651,3천만원미만,51,N,1101056,평창동,11110560
11110560,20대,2651,4천만원미만,19,N,1101056,평창동,11110560
11110560,20대,2651,5천만원미만,5,N,1101056,평창동,11110560
11110560,20대,2651,5천만원이상,3,N,1101056,평창동,11110560
11110560,30대,3773,2천만원미만,6,N,1101056,평창동,11110560
11110560,30대,3773,3천만원미만,23,N,1101056,평창동,11110560
11110560,30대,3773,4천만원미만,35,N,1101056,평창동,11110560
11110560,30대,3773,5천만원미만,20,N,1101056,평창동,11110560
11110560,30대,3773,5천만원이상,17,N,1101056,평창동,11110560
11110560,40대,5239,2천만원미만,4,N,1101056,평창동,11110560
11110560,40대,5239,3천만원미만,6,N,1101056,평창동,11110560
11110560,40대,5239,4천만원미만,16,N,1101056,평창동,11110560
11110560,40대,5239,5천만원미만,27,N,1101056,평창동,11110560
11110560,40대,5239,5천만원이상,47,N,1101056,평창동,11110560
11110560,50대,5831,2천만원미만,4,N,1101056,평창동,11110560
11110560,50대,5831,3천만원미만,5,N,1101056,평창동,11110560
11110560,50대,5831,4천만원미만,14,N,1101056,평창동,11110560
11110560,50대,5831,5천만원미만,19,N,1101056,평창동,11110560
11110560,50대,5831,5천만원이상,58,N,1101056,평창동,11110560
11110560,60세이상,4756,2천만원미만,8,N,1101056,평창동,11110560
11110560,60세이상,4756,3천만원미만,26,N,1101056,평창동,11110560
11110560,60세이상,4756,4천만원미만,12,N,1101056,평창동,11110560
11110560,60세이상,4756,5천만원미만,16,N,1101056,평창동,11110560
11110560,60세이상,4756,5천만원이상,38,N,1101056,평창동,11110560
11110570,전체,4761,2천만원미만,5,N,1101057,무악동,11110570
11110570,전체,4761,3천만원미만,14,N,1101057,무악동,11110570
11110570,전체,4761,4천만원미만,22,N,1101057,무악동,11110570
11110570,전체,4761,5천만원미만,19,N,1101057,무악동,11110570
11110570,전체,4761,5천만원이상,40,N,1101057,무악동,11110570
11110570,남성,5303,2천만원미만,3,N,1101057,무악동,11110570
11110570,남성,5303,3천만원미만,13,N,1101057,무악동,11110570
11110570,남성,5303,4천만원미만,15,N,1101057,무악동,11110570
11110570,남성,5303,5천만원미만,17,N,1101057,무악동,11110570
11110570,남성,5303,5천만원이상,51,N,1101057,무악동,11110570
11110570,여성,4093,2천만원미만,7,N,1101057,무악동,11110570
11110570,여성,4093,3천만원미만,16,N,1101057,무악동,11110570
11110570,여성,4093,4천만원미만,30,N,1101057,무악동,11110570
11110570,여성,4093,5천만원미만,21,N,1101057,무악동,11110570
11110570,여성,4093,5천만원이상,25,N,1101057,무악동,11110570
11110570,20대,2580,2천만원미만,20,N,1101057,무악동,11110570
11110570,20대,2580,3천만원미만,54,N,1101057,무악동,11110570
11110570,20대,2580,4천만원미만,20,N,1101057,무악동,11110570
11110570,20대,2580,5천만원미만,3,N,1101057,무악동,11110570
11110570,20대,2580,5천만원이상,2,N,1101057,무악동,11110570
11110570,30대,3942,2천만원미만,5,N,1101057,무악동,11110570
