동별(3),단독주택,아파트,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
가산동,625,3027,1118051,가산동,11545510
독산1동,483,10364,1118052,독산1동,11545610
독산2동,1355,235,1118053,독산2동,11545620
독산3동,1322,1560,1118054,독산3동,11545630
독산4동,1031,449,1118055,독산4동,11545640
시흥1동,1500,4903,1118057,시흥1동,11545670
시흥2동,115,7535,1118058,시흥2동,11545680
시흥3동,162,425,1118059,시흥3동,11545690
시흥4동,926,1610,1118060,시흥4동,11545700
시흥5동,1288,1581,1118061,시흥5동,11545710
여의동,483,10200,1119054,여의동,11560540
당산1동,799,4083,1119055,당산1동,11560550
당산2동,330,8920,1119056,당산2동,11560560
양평1동,659,3011,1119061,양평1동,11560610
양평2동,271,4652,1119062,양평2동,11560620
신길1동,1518,1327,1119063,신길1동,11560630
신길3동,1136,3172,1119065,신길3동,11560650
신길4동,624,2690,1119066,신길4동,11560660
신길5동,798,610,1119067,신길5동,11560670
신길6동,786,3414,1119068,신길6동,11560680
신길7동,238,6182,1119069,신길7동,11560690
대림1동,1094,2142,1119070,대림1동,11560700
대림2동,1470,1529,1119071,대림2동,11560710
대림3동,1136,4190,1119072,대림3동,11560720
영등포본동,1278,3543,1119073,영등포본동,11560515
영등포동,625,5078,1119074,영등포동,11560535
도림동,1270,1562,1119075,도림동,11560585
문래동,243,8652,1119076,문래동,11560605
노량진2동,1537,104,1120052,노량진2동,11590520
상도1동,926,9078,1120053,상도1동,11590530
상도2동,855,6058,1120054,상도2동,11590540
상도3동,998,953,1120055,상도3동,11590550
상도4동,1443,688,1120056,상도4동,11590560
사당1동,1226,550,1120063,사당1동,11590620
사당3동,592,5227,1120065,사당3동,11590640
사당4동,704,975,1120066,사당4동,11590650
사당5동,457,1720,1120067,사당5동,11590651
대방동,1002,7032,1120068,대방동,11590660
신대방1동,799,4630,1120069,신대방1동,11590670
신대방2동,690,3092,1120070,신대방2동,11590680
흑석동,1480,6822,1120071,흑석동,11590605
노량진1동,1055,8290,1120072,노량진1동,11590510
사당2동,758,6387,1120073,사당2동,11590630
보라매동,1327,1413,1121052,보라매동,11620525
청림동,484,4356,1121054,청림동,11620545
행운동,1164,3530,1121057,행운동,11620575
낙성대동,648,1422,1121058,낙성대동,11620585
중앙동,950,1013,1121061,중앙동,11620615
인헌동,831,1319,1121062,인헌동,11620625
남현동,478,2093,1121063,남현동,11620630
서원동,979,785,1121064,서원동,11620645
신원동,1359,677,1121065,신원동,11620655
서림동,1039,1763,1121066,서림동,11620665
관악구_신사동,1654,297,1121068,관악구_신사동,11620685
강남구_신사동,343,3582,1123051,강남구_신사동,11680510
신림동,829,1244,1121069,신림동,11620695
난향동,445,3873,1121071,난향동,11620715
조원동,858,1231,1121072,조원동,11620725
대학동,1102,2006,1121073,대학동,11620735
은천동,1033,6053,1121078,은천동,11620605
성현동,375,8669,1121079,성현동,11620565
청룡동,1220,4392,1121080,청룡동,11620595
난곡동,1496,915,1121081,난곡동,11620775
삼성동,1844,4712,1121082,삼성동,11620745
미성동,1134,3654,1121083,미성동,11620765
서초1동,443,4527,1122051,서초1동,11650510
서초2동,97,6285,1122052,서초2동,11650520
서초3동,316,6096,1122053,서초3동,11650530
서초4동,19,9077,1122054,서초4동,11650531
잠원동,231,10436,1122055,잠원동,11650540
반포본동,1134,3660,1122056,반포본동,11650550
반포1동,478,6526,1122057,반포1동,11650560
반포2동,1844,4702,1122058,반포2동,11650570
반포3동,6,7177,1122059,반포3동,11650580
반포4동,118,3834,1122060,반포4동,11650581
방배본동,314,3500,1122061,방배본동,11650590
방배1동,399,1952,1122062,방배1동,11650600
방배2동,776,2125,1122063,방배2동,11650610
방배3동,326,4384,1122064,방배3동,11650620
방배4동,463,3778,1122065,방배4동,11650621
양재1동,516,10799,1122066,양재1동,11650651
양재2동,386,909,1122067,양재2동,11650652
내곡동,593,4732,1122068,내곡동,11650660
논현1동,854,1800,1123052,논현1동,11680521
논현2동,616,2852,1123053,논현2동,11680531
삼성1동,217,3111,1123058,삼성1동,11680580
삼성2동,370,6887,1123059,삼성2동,11680590
대치1동,5,6868,1123060,대치1동,11680600
대치4동,464,1985,1123063,대치4동,11680630
역삼1동,1217,2678,1123064,역삼1동,11680640
역삼2동,297,8691,1123065,역삼2동,11680650
도곡1동,129,5802,1123066,도곡1동,11680655
도곡2동,45,9727,1123067,도곡2동,11680656
개포1동,7,1499,1123068,개포1동,11680660
개포4동,258,3451,1123071,개포4동,11680690
일원본동,104,6884,1123072,일원본동,11680720
일원1동,506,3033,1123073,일원1동,11680730
수서동,58,7185,1123075,수서동,11680750
세곡동,758,11467,1123076,세곡동,11680700
압구정동,170,7842,1123077,압구정동,11680545
청담동,361,7322,1123078,청담동,11680565
