AD_CD,대표자_남자,대표자_여자,사업체_총합,대표자_20대이하,대표자_30대,대표자_40대,대표자_50대,대표자_60대,대표자_70대이상,조직형태_개인사업체,조직형태_회사법인,조직형태_회사이외법인,조직형태_비법인단체,조직형태_국가지자체
1122056,308,347,655,15,79,165,202,139,55,569,63,11,6,6
1122057,1030,615,1645,54,326,531,478,197,59,1178,415,24,23,5
1122058,248,212,460,8,57,127,156,90,22,344,71,17,19,9
1122059,575,383,958,10,105,302,319,167,55,716,193,19,27,3
1122060,1941,1638,3579,49,502,1004,1127,643,254,2622,838,74,35,10
1122061,1043,626,1669,40,272,508,542,240,67,1215,385,20,44,5
1122062,1169,587,1756,22,258,551,581,265,79,1121,544,52,37,2
1122063,1316,660,1976,37,275,534,700,347,83,1341,526,46,56,7
1122064,796,388,1184,15,142,283,418,257,69,721,339,68,48,8
1122065,1638,765,2403,42,315,725,819,379,123,1602,672,70,55,4
1122066,2634,1073,3707,51,454,1120,1253,639,190,2090,1388,118,97,14
1122067,3934,1398,5332,75,594,1749,1900,816,198,3010,2143,119,53,7
1122068,471,173,644,7,51,149,265,131,41,472,128,23,13,8
1123052,4098,1672,5770,166,1223,2015,1501,692,173,3338,2273,98,57,4
1123053,4067,1664,5731,116,1121,1957,1661,685,191,3059,2434,173,58,7
1123058,3057,1235,4292,59,536,1351,1493,679,174,1900,2180,131,70,11
1123059,2728,1144,3872,76,690,1223,1208,508,167,1988,1688,103,81,12
1123060,583,430,1013,22,119,289,410,144,29,777,182,24,24,6
1123063,2513,1243,3756,95,649,1296,1109,471,136,2478,1124,95,55,4
1123064,11039,4077,15116,364,2791,5127,4383,1900,551,7576,6736,636,153,15
1123065,2500,989,3489,69,528,1135,1120,499,138,1758,1563,119,43,6
1123066,1158,498,1656,38,232,485,565,268,68,995,564,40,54,3
1123067,1333,637,1970,43,225,632,687,317,66,1041,842,42,40,5
1123068,312,178,490,9,35,82,168,162,34,436,28,4,17,5
1123071,1767,636,2403,29,295,803,869,354,53,1520,795,36,45,7
1123072,297,229,526,10,49,125,208,116,18,429,34,18,36,9
1123073,1579,338,1917,12,141,250,698,678,138,1706,151,23,32,5
1123075,1282,368,1650,27,154,446,635,331,57,802,761,47,34,6
1123076,597,300,897,15,165,240,265,171,41,711,130,18,25,13
1123077,2690,1670,4360,82,939,1546,1138,485,170,2888,1380,42,42,8
1123078,2769,1828,4597,102,966,1582,1229,543,175,2895,1564,78,54,6
1123079,2341,1238,3579,68,469,1034,1255,617,136,2099,1293,113,67,7
1123080,512,390,902,17,116,215,319,194,41,751,82,13,43,13
1124051,464,321,785,20,73,200,280,176,36,700,51,10,20,4
1124052,758,430,1188,18,143,251,448,271,57,972,118,34,50,14
1124053,591,304,895,11,95,244,362,147,36,763,82,10,33,7
1124054,713,369,1082,13,100,269,419,235,46,954,64,10,49,5
1124055,685,313,998,16,91,211,373,245,62,910,26,15,41,6
1124056,840,503,1343,23,122,334,502,294,68,1172,72,20,73,6
1124057,856,503,1359,32,184,417,452,224,50,1006,291,17,38,7
1124058,2086,944,3030,57,430,872,1074,493,104,2042,872,56,57,3
1124059,295,238,533,7,37,130,204,124,31,355,56,62,42,18
1124060,2464,750,3214,45,278,715,1201,834,141,2606,484,36,74,14
1124061,1764,764,2528,47,301,670,988,455,67,1958,482,33,51,4
1124062,554,384,938,21,134,284,318,159,22,773,114,14,33,4
1124063,1775,947,2722,55,344,737,974,477,135,2084,540,26,68,4
1124064,1255,714,1969,38,310,520,691,345,65,1558,318,32,55,6
1124065,2575,1072,3647,74,477,1056,1378,574,88,2258,1209,69,99,12
1124066,2220,734,2954,11,189,628,1019,810,297,1065,1816,28,42,3
1124067,1218,718,1936,36,241,580,731,301,47,1491,354,19,66,6
1124068,916,481,1397,34,180,432,522,203,26,1027,315,17,35,3
1124069,1977,825,2802,56,500,947,900,343,56,1647,1096,32,21,6
