,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
362,ACE 미국나스닥100,"15,060",70,+0.47%,0,"151,298","31,100","4,684",0.05,N/A,N/A
363,케이씨텍,"22,200","1,250",+5.97%,500,"105,736","20,862","4,631",11.15,10.35,13.66
364,동아에스티,"53,700",600,+1.13%,"5,000","12,122","8,615","4,626",20.49,23.72,2.04
365,신한 레버리지 WTI원유 선물 ETN(H),915,25,+2.81%,0,"1,537,320","500,000","4,575",0.00,N/A,N/A
366,ACE 200,"34,510",250,+0.73%,0,"190,893","13,250","4,573",9.48,N/A,N/A
367,KODEX 반도체,"32,820",680,+2.12%,0,"438,758","13,750","4,513",1.49,N/A,N/A
368,세아홀딩스,"112,500",400,-0.35%,"5,000",20,"4,000","4,500",0.60,3.44,6.14
369,LF,"15,320",10,+0.07%,"5,000","23,766","29,240","4,480",20.47,3.74,10.86
370,삼화콘덴서,"42,950",200,+0.47%,"1,000","26,794","10,395","4,465",6.81,16.18,13.69
371,영진약품,"2,440",40,+1.67%,500,"344,778","182,893","4,463",4.80,-21.59,-22.55
372,엘브이엠씨홀딩스,"2,590",20,-0.77%,0,"1,245,828","171,588","4,444",14.13,-8.87,-9.20
373,송원산업,"18,430",90,-0.49%,500,"76,061","24,000","4,423",17.41,4.46,21.53
374,KB스타리츠,"4,360",70,+1.63%,500,"130,546","101,414","4,422",0.07,N/A,N/A
375,NICE,"11,560",70,+0.61%,500,"13,560","37,882","4,379",12.37,13.73,4.90
376,빙그레,"44,350",250,+0.57%,"5,000","16,346","9,851","4,369",16.88,13.24,4.53
377,DB,"2,170",5,+0.23%,500,"1,626,610","201,174","4,365",1.73,29.32,1.58
378,일동제약,"16,280","1,220",+8.10%,"1,000","1,629,761","26,803","4,364",5.80,-14.23,-82.28
379,삼양사,"42,000",300,+0.72%,"5,000","8,037","10,313","4,332",4.23,6.71,5.33
380,파미셀,"7,190",110,+1.55%,500,"218,711","60,017","4,315",8.88,64.77,15.16
381,삼천리,"106,300",100,+0.09%,"5,000","17,148","4,055","4,310",9.92,5.75,3.58
382,HD현대에너지솔루션,"38,450","1,200",+3.22%,"5,000","57,152","11,200","4,306",12.04,7.29,17.27
383,CJ CGV,"9,000",310,-3.33%,500,"394,766","47,728","4,296",4.95,-3.98,-55.24
384,세아제강,"151,400","5,000",-3.20%,"5,000","14,433","2,836","4,294",12.79,2.45,21.12
385,유니드,"62,600",200,+0.32%,"5,000","23,425","6,768","4,237",10.44,6.45,13.10
386,일진전기,"11,260",240,-2.09%,"1,000","611,720","37,080","4,175",4.32,17.43,7.25
387,LX하우시스,"46,500",250,+0.54%,"5,000","30,706","8,968","4,170",15.77,-4.25,-14.25
