,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
1029,티에이치엔,"3,595",65,-1.78%,500,"89,556","18,000",647,3.55,-11.31,-5.48
1030,비상교육,"4,965",20,-0.40%,500,"54,755","12,997",645,5.99,-5.57,-0.51
1031,서원,"1,349",19,+1.43%,500,"94,693","47,475",640,1.78,-12.49,0.25
1032,미래에셋맵스리츠,"3,180",10,+0.32%,"1,000","98,098","20,100",639,0.45,31.18,0.69
1033,SK케미칼우,"30,200",200,+0.67%,"5,000","4,303","2,115",639,15.60,3.47,N/A
1034,갤럭시아에스엠,"2,305",105,-4.36%,500,"1,398,213","27,550",635,2.56,27.12,13.90
1035,KBSTAR 고배당,"11,735",60,+0.51%,0,"12,359","5,400",634,0.06,N/A,N/A
1036,현대건설우,"59,900",0,0.00%,"5,000","2,385","1,055",632,4.35,17.01,N/A
1037,KODEX Fn성장,"14,680",130,+0.89%,0,"2,535","4,300",631,0.00,N/A,N/A
1038,TIGER 200 에너지화학,"15,290",95,+0.63%,0,"9,688","4,120",630,0.65,N/A,N/A
1039,KBSTAR 중국본토대형주CSI100,"16,535",50,-0.30%,0,"2,176","3,800",628,0.00,N/A,N/A
1040,ARIRANG 미국S&P500(H),"18,475",135,+0.74%,0,"4,787","3,400",628,0.14,N/A,N/A
1041,TIGER 경기방어,"8,255",115,+1.41%,0,"9,048","7,520",621,0.00,N/A,N/A
1042,태양금속,"1,688",94,-5.27%,500,"473,644","36,700",619,3.33,32.46,-0.62
1043,TIGER 차이나HSCEI,"9,000",150,+1.69%,0,"7,409","6,850",616,0.57,N/A,N/A
1044,KBSTAR 미국단기투자등급회사채액티브,"9,835",60,-0.61%,0,648,"6,250",615,0.00,N/A,N/A
1045,청호ICT,"2,490",0,0.00%,500,0,"24,656",614,1.17,-10.64,-20.57
1046,KBSTAR 중기우량회사채,"103,920",285,+0.28%,0,674,583,606,0.00,N/A,N/A
1047,진양폴리,"6,050","1,075",+21.61%,500,"5,034,914","10,000",605,1.55,17.85,11.61
1048,국동,"1,054",18,+1.74%,500,"147,555","57,372",605,2.64,27.74,1.32
1049,GS우,"33,850",200,+0.59%,"5,000",839,"1,785",604,9.28,1.69,N/A
1050,KBSTAR 단기국공채액티브,"105,580",90,+0.09%,0,548,572,604,0.22,N/A,N/A
1051,TIGER 화장품,"2,165",35,-1.59%,0,"492,663","27,840",603,0.29,N/A,N/A
1052,SG글로벌,"1,336",11,+0.83%,500,"51,253","44,964",601,0.68,"1,336.00",-2.00
1053,KODEX 차이나2차전지MSCI(합성),"7,315",10,-0.14%,0,"7,232","8,200",600,0.48,N/A,N/A
1054,KB Wise 분할매매 ETN,"9,975",0,0.00%,0,0,"6,000",598,0.00,N/A,N/A
1055,계양전기,"2,195",10,+0.46%,500,"31,029","27,223",598,2.64,-3.35,-15.77
1056,신풍제약우,"27,000",200,+0.75%,500,"1,967","2,200",594,0.11,-40.18,N/A
1057,신한 S&P500 VIX S/T 선물 ETN D,"9,760",670,-6.42%,0,"76,519","6,000",586,0.00,N/A,N/A
1058,한국전자홀딩스,"1,239",5,-0.40%,500,"221,341","46,803",580,3.26,4.49,12.01
1059,IHQ,239,0,0.00%,500,0,"242,296",579,3.21,-0.44,-114.46
1060,TIGER 코스닥150 레버리지,"13,150",440,+3.46%,0,"135,733","4,400",579,7.02,N/A,N/A
1061,HANARO e커머스,"10,590",0,0.00%,0,"53,343","5,450",577,0.00,N/A,N/A
1062,QV 코스닥 150 ETN,"14,365",195,+1.38%,0,10,"4,000",575,0.00,N/A,N/A
1063,KODEX 200미국채혼합,"12,135",65,+0.54%,0,"13,916","4,720",573,0.01,N/A,N/A
1064,부국증권우,"19,050",190,+1.01%,"5,000",6,"3,000",572,12.48,5.42,N/A
1065,평화홀딩스,"3,860",60,-1.53%,500,"52,551","14,625",565,16.11,-52.16,-14.93
1066,미래에셋증권우,"3,970",25,+0.63%,"5,000","7,012","14,076",559,0.40,4.46,N/A
1067,KODEX 아시아달러채권SRI플러스액티브,"49,345",315,-0.63%,0,1,"1,132",559,0.00,N/A,N/A
1068,TIGER 차이나전기차레버리지(합성),"8,830",80,-0.90%,0,"99,611","6,300",556,0.00,N/A,N/A
1069,하나 블룸버그 -2X 천연가스 선물 ETN(H),"55,590","3,135",+5.98%,0,4,"1,000",556,0.00,N/A,N/A
1070,KODEX 철강,"8,820",115,+1.32%,0,"63,932","6,300",556,0.02,N/A,N/A
1071,미래에셋 레버리지 코스피200 선물 ETN,"27,780",530,+1.94%,0,"5,085","2,000",556,0.00,N/A,N/A
1072,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),"55,460","3,085",+5.89%,0,211,"1,000",555,0.00,N/A,N/A
1073,HANARO 글로벌럭셔리S&P(합성),"19,695",110,+0.56%,0,"7,223","2,810",553,0.21,N/A,N/A
1074,TIGER 200 건설,"3,165",0,0.00%,0,"64,024","17,480",553,0.23,N/A,N/A
1075,진양화학,"3,490",165,+4.96%,500,"1,538,130","15,800",551,0.30,-49.86,-3.70
1076,세원이앤씨,254,0,0.00%,500,0,"215,901",548,4.99,-0.80,-51.17
1077,대동전자,"5,210",60,-1.14%,500,"15,372","10,490",547,40.16,5.96,4.67
1078,대신 인버스 천연가스 선물 ETN(H),"6,820",180,+2.71%,0,"22,153","8,000",546,0.00,N/A,N/A
1079,키움 미국달러선물 ETN,"10,900",0,0.00%,0,0,"5,000",545,0.00,N/A,N/A
1080,이화산업,"19,400",180,-0.92%,"5,000","5,714","2,800",543,1.71,-68.79,0.04
1081,SOL 미국배당다우존스(H),"10,415",35,+0.34%,0,"162,670","5,200",542,0.03,N/A,N/A
1082,선도전기,"3,000",0,0.00%,500,0,"18,000",540,5.49,-2.63,-28.99
1083,남양유업우,"269,500","11,500",-4.09%,"5,000","1,010",200,539,43.36,-3.10,N/A
1084,MH에탄올,"7,300",120,+1.67%,500,"470,267","7,379",539,0.15,17.89,7.71
1085,QV 레버리지 S&P500 ETN,"26,900",210,+0.79%,0,19,"2,000",538,0.00,N/A,N/A
1086,HANARO 단기채권액티브,"103,580",0,0.00%,0,0,519,538,0.00,N/A,N/A
1087,영화금속,"1,003",3,-0.30%,500,"107,351","53,395",536,1.59,14.97,0.76
1088,에쓰씨엔지니어링,"1,703",7,-0.41%,500,"189,959","31,249",532,2.13,11.66,15.08
1089,대림통상,"3,490",25,-0.71%,"1,000","7,873","15,225",531,0.83,75.87,4.87
1090,키움 코스피 200 ETN,"10,605",85,+0.81%,0,122,"5,000",530,0.00,N/A,N/A
1091,KBSTAR Fn컨택트대표,"8,225",40,-0.48%,0,444,"6,420",528,0.00,N/A,N/A
1092,KR모터스,548,0,0.00%,500,"155,732","96,138",527,46.43,-6.16,-19.06
1093,ACE 25-06 회사채(AA-이상)액티브,"10,045",20,+0.20%,0,"4,034","5,210",523,0.00,N/A,N/A
1094,HANARO 32-10 국고채액티브,"52,040",525,+1.02%,0,743,"1,000",520,0.18,N/A,N/A
1095,TIGER 유로스탁스50(합성 H),"15,440",225,+1.48%,0,"1,038","3,350",517,0.00,N/A,N/A
1096,KB 블룸버그 레버리지 천연가스 선물 ETN,"20,590","1,285",-5.87%,0,548,"2,500",515,0.00,N/A,N/A
1097,TIMEFOLIO Kstock액티브,"8,865",55,+0.62%,0,"49,448","5,800",514,0.05,N/A,N/A
1098,원림,"22,350",150,+0.68%,"5,000","3,249","2,298",514,3.72,8.16,6.53
1099,에셋플러스 글로벌플랫폼액티브,"7,400",70,+0.95%,0,"17,559","6,900",511,0.00,N/A,N/A
1100,KBSTAR 미국S&P원유생산기업(합성 H),"6,015",10,+0.17%,0,"64,715","8,450",508,0.26,N/A,N/A
1101,유엔젤,"3,830",45,+1.19%,500,"588,713","13,195",505,1.09,17.17,4.16
1102,TIGER 글로벌클라우드컴퓨팅INDXX,"9,380",0,0.00%,0,"8,722","5,360",503,0.58,N/A,N/A
1103,메리츠 KAP 통안채 3개월 ETN,"50,265",0,0.00%,0,0,"1,000",503,0.00,N/A,N/A
1104,KODEX 코스닥글로벌,"10,020",90,+0.91%,0,"153,792","5,000",501,0.00,N/A,N/A
1105,KODEX 2차전지산업레버리지,"10,010",70,+0.70%,0,"238,193","5,000",500,0.36,N/A,N/A
1106,케이탑리츠,"1,027",14,+1.38%,"1,000","100,154","48,061",494,15.19,5.21,11.11
1107,대신 S&P 인버스 2X 천연가스 선물 ETN,"49,185","1,970",+4.17%,0,"2,535","1,000",492,0.00,N/A,N/A
1108,SOL KIS단기통안채,"104,025",70,+0.07%,0,1,471,490,0.00,N/A,N/A
1109,비비안,"1,643",17,-1.02%,500,"544,978","29,794",490,0.72,-5.59,-8.06
1110,KB 인버스 천연가스 선물 ETN,"10,870",145,+1.35%,0,"1,967","4,500",489,0.00,N/A,N/A
1111,삼성 레버리지 나스닥 100 ETN(H),"12,195",350,+2.95%,0,"43,869","4,000",488,0.00,N/A,N/A
1112,ACE 일본Nikkei225(H),"22,145",350,+1.61%,0,"20,260","2,200",487,0.06,N/A,N/A
1113,롯데칠성우,"62,800",600,+0.96%,500,198,775,487,7.41,5.19,N/A
1114,키움 코스닥 150 ETN,"12,120",210,+1.76%,0,671,"4,000",485,0.00,N/A,N/A
1115,TIGER 미국달러SOFR금리액티브(합성),"48,215",445,-0.91%,0,"5,664","1,000",482,0.03,N/A,N/A
1116,더메디팜,519,2,+0.39%,500,"237,971","92,849",482,0.46,-1.13,-45.33
1117,삼성 코스닥 150 ETN,"9,600",175,+1.86%,0,16,"5,000",480,0.00,N/A,N/A
1118,DL이앤씨2우(전환),"22,700",50,-0.22%,"5,000","1,206","2,112",479,5.16,2.42,N/A
1119,KODEX 코스피TR,"12,585",105,+0.84%,0,619,"3,800",478,0.00,N/A,N/A
1120,SOL 미국S&P500,"11,920",5,-0.04%,0,"16,274","4,000",477,0.27,N/A,N/A
1121,KODEX K-신재생에너지액티브,"15,135",180,+1.20%,0,"40,261","3,150",477,2.45,N/A,N/A
1122,TIGER KEDI혁신기업ESG30,"10,420",100,+0.97%,0,"12,680","4,550",474,3.90,N/A,N/A
1123,ACE 단기채권알파액티브,"103,115",35,+0.03%,0,"73,121",459,473,0.07,N/A,N/A
1124,KBSTAR 금융채액티브,"100,865",355,+0.35%,0,2,464,468,0.00,N/A,N/A
1125,전방,"27,800",0,0.00%,"5,000",124,"1,680",467,0.38,0.82,38.04
1126,ACE 삼성그룹섹터가중,"16,045",215,+1.36%,0,"4,953","2,900",465,0.00,N/A,N/A
1127,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"18,360",775,-4.05%,0,"70,875","2,500",459,0.00,N/A,N/A
1128,미래아이앤지,"1,634",6,+0.37%,500,"127,245","27,884",456,1.37,7.53,N/A
1129,TIGER 차이나바이오테크SOLACTIVE,"6,320",130,+2.10%,0,"32,310","7,200",455,0.40,N/A,N/A
1130,성문전자,"2,025",25,-1.22%,500,"327,688","22,461",455,2.29,17.46,6.56
1131,HANARO Fn K-뉴딜디지털플러스,"9,120",155,+1.73%,0,914,"4,950",451,0.00,N/A,N/A
1132,TIGER 글로벌BBIG액티브,"11,425",75,+0.66%,0,"13,950","3,940",450,0.00,N/A,N/A
1133,메리츠 3X 레버리지 국채30년 ETN,"45,010","1,100",+2.51%,0,"44,998","1,000",450,0.72,N/A,N/A
1134,KODEX 건설,"3,595",10,+0.28%,0,"74,335","12,500",449,0.40,N/A,N/A
1135,KODEX 미국S&P500배당귀족커버드콜(합성 H),"9,165",40,+0.44%,0,"18,323","4,900",449,0.00,N/A,N/A
1136,동양고속,"15,410",130,+0.85%,"5,000","1,097","2,896",446,0.33,-6.45,-16.07
1137,한국ANKOR유전,637,13,-2.00%,0,"4,708,759","70,020",446,0.14,N/A,N/A
1138,WISCOM,"2,905",35,+1.22%,500,"7,152","15,326",445,1.07,-5.39,-6.38
1139,ARIRANG K방산Fn,"13,475",90,+0.67%,0,"196,268","3,300",445,0.02,N/A,N/A
1140,ACE 인도네시아MSCI(합성),"10,585",55,-0.52%,0,"17,660","4,200",445,0.00,N/A,N/A
1141,KOSEF 통안채1년,"103,340",120,+0.12%,0,"1,817",430,444,0.00,N/A,N/A
1142,우진아이엔에스,"5,820",40,+0.69%,500,"5,512","7,622",444,1.29,-18.90,-3.49
1143,바다로19호,"2,900",10,+0.35%,"5,000","23,534","15,200",441,0.78,7.47,24.64
1144,유화증권우,"2,520",0,0.00%,"1,000",0,"17,476",440,0.00,23.77,N/A
1145,KODEX K-로봇액티브,"12,950",150,+1.17%,0,"51,816","3,400",440,0.11,N/A,N/A
1146,KB 레버리지 S&P 500 선물 ETN(H),"10,990",210,+1.95%,0,"1,751","4,000",440,0.00,N/A,N/A
1147,삼성 코스피 200 ETN,"8,790",95,+1.09%,0,20,"5,000",440,0.00,N/A,N/A
1148,TRUE 코스피 200 ETN,"8,770",125,+1.45%,0,4,"5,000",438,0.00,N/A,N/A
1149,동일제강,"2,155",0,0.00%,500,"17,904","20,300",437,1.65,215.50,2.15
1150,미래에셋 인버스 2X 원유선물혼합 ETN(H),"17,435",505,-2.81%,0,"15,531","2,500",436,0.00,N/A,N/A
1151,KODEX IT,"18,930",270,+1.45%,0,"6,482","2,300",435,0.00,N/A,N/A
1152,형지엘리트,"1,396",17,-1.20%,500,"84,079","31,155",435,1.28,6.18,12.63
1153,파워 200,"34,545",310,+0.91%,0,"3,700","1,250",432,0.00,N/A,N/A
1154,TIGER 인버스,"5,005",45,-0.89%,0,"152,152","8,600",430,6.18,N/A,N/A
1155,KB 레버리지 나스닥 100 ETN,"14,315",260,+1.85%,0,"3,525","3,000",429,0.00,N/A,N/A
1156,페이퍼코리아,880,17,+1.97%,500,"357,935","47,567",419,0.48,20.00,-3.42
1157,TIGER 레버리지,"16,730",230,+1.39%,0,"57,784","2,500",418,4.38,N/A,N/A
1158,참엔지니어링,706,1,+0.14%,500,"124,797","58,867",416,2.61,-41.53,-2.71
1159,삼성 미국 대형 성장주 ETN,"20,740",0,0.00%,0,0,"2,000",415,0.00,N/A,N/A
1160,KODEX 미국배당프리미엄액티브,"9,755",60,-0.61%,0,"213,351","4,250",415,0.00,N/A,N/A
1161,하나 Solactive 2X US Tech Top 10 ETN(H),"41,450","1,475",+3.69%,0,179,"1,000",414,0.00,N/A,N/A
1162,DL이앤씨우,"19,540",60,+0.31%,"5,000","1,656","2,114",413,5.39,2.09,N/A
1163,세기상사,"7,430",170,+2.34%,500,"2,960","5,559",413,1.60,-28.80,-5.63
1164,경인전자,"26,250",200,-0.76%,"5,000",779,"1,571",412,11.74,10.33,4.38
1165,KODEX 차이나H,"15,810",165,+1.05%,0,"3,117","2,600",411,30.77,N/A,N/A
1166,TIGER 퓨처모빌리티액티브,"11,595",50,+0.43%,0,"10,505","3,530",409,0.38,N/A,N/A
1167,주연테크,691,2,-0.29%,200,"180,668","59,199",409,1.65,-7.76,-12.91
1168,KODEX 미국달러선물인버스,"8,890",80,+0.91%,0,"93,142","4,600",409,0.54,N/A,N/A
1169,세우글로벌,"1,419",17,+1.21%,500,"36,243","28,705",407,2.38,20.27,3.39
1170,신한 레버리지 S&P500 선물 ETN,"20,330",170,+0.84%,0,60,"2,000",407,0.00,N/A,N/A
1171,KODEX 증권,"5,930",100,+1.72%,0,"29,213","6,800",403,0.27,N/A,N/A
1172,에넥스,672,3,-0.44%,500,"111,908","59,992",403,0.73,-1.79,-42.38
1173,대신 인버스 2X 알루미늄 선물 ETN(H),"39,810","2,305",-5.47%,0,"1,579","1,000",398,0.00,N/A,N/A
1174,삼성 레버리지 은 선물 ETN(H),"13,175","1,010",+8.30%,0,"42,653","3,000",395,0.00,N/A,N/A
1175,KODEX K-친환경선박액티브,"12,700",150,+1.20%,0,"70,791","3,100",394,0.42,N/A,N/A
1176,동원수산,"8,450",120,-1.40%,"5,000","19,788","4,654",393,1.44,13.72,10.36
1177,TBH글로벌,"1,883",1,+0.05%,500,"20,859","20,857",393,3.75,10.64,N/A
1178,윌비스,584,1,+0.17%,"1,000","192,649","67,236",393,3.13,-2.52,-9.03
1179,TRUE 코스피 양매도 3% OTM ETN,"7,770",0,0.00%,0,0,"5,000",388,0.00,N/A,N/A
1180,TIMEFOLIO 글로벌AI인공지능액티브,"13,110",350,+2.74%,0,"405,073","2,940",385,0.28,N/A,N/A
1181,호텔신라우,"51,100",0,0.00%,"5,000","2,410",752,384,1.59,190.67,N/A
1182,DL우,"22,750",100,+0.44%,"5,000",985,"1,686",384,6.86,-7.76,N/A
1183,태원물산,"5,040",250,-4.73%,500,"21,188","7,600",383,3.01,-52.50,-4.47
1184,WOORI 단기국공채액티브,"50,260",10,+0.02%,0,548,762,383,0.00,N/A,N/A
1185,부산주공,486,0,0.00%,500,0,"78,783",383,4.37,-3.08,-35.10
1186,TIGER KRX인터넷K-뉴딜,"3,805",30,+0.79%,0,"153,913","10,050",382,0.06,N/A,N/A
1187,ARIRANG ESG가치주액티브,"8,110",60,+0.75%,0,"10,529","4,700",381,0.02,N/A,N/A
1188,신한 레버리지 금 선물 ETN,"18,925",175,+0.93%,0,"100,317","2,000",378,0.00,N/A,N/A
1189,SOL 200 Top10,"8,795",100,+1.15%,0,"15,026","4,300",378,2.12,N/A,N/A
1190,KODEX Fn시스템반도체,"9,215",155,+1.71%,0,"44,400","4,100",378,0.00,N/A,N/A
1191,TRUE 레버리지 코스닥 150 선물 ETN,"37,600","1,320",+3.64%,0,"47,096","1,000",376,0.00,N/A,N/A
1192,삼성 미국 대형 가치주 ETN,"18,745",0,0.00%,0,0,"2,000",375,0.00,N/A,N/A
1193,대신 레버리지 코스닥 150 선물 ETN,"37,450","1,410",+3.91%,0,"1,535","1,000",374,0.00,N/A,N/A
1194,삼성 레버리지 코스닥150 선물 ETN,"37,330","1,470",+4.10%,0,"20,063","1,000",373,0.00,N/A,N/A
1195,KODEX 차이나과창판STAR50(합성),"7,315",5,-0.07%,0,483,"5,100",373,0.00,N/A,N/A
1196,SK디스커버리우,"27,450",250,-0.90%,"5,000","6,180","1,358",373,1.13,1.37,N/A
1197,삼성 미국 대형 성장주 ETN(H),"18,400",0,0.00%,0,0,"2,000",368,0.00,N/A,N/A
1198,TRUE 블룸버그 인버스 2X WTI원유 선물 ETN,"18,380",775,-4.05%,0,"7,771","2,000",368,0.00,N/A,N/A
1199,하나 레버리지 코스닥150 선물 ETN,"36,725",405,+1.12%,0,"12,721","1,000",367,0.00,N/A,N/A
1200,금호전기,"1,080",38,-3.40%,500,"439,178","33,889",366,1.82,-2.22,-61.11
1201,이스타코,853,2,+0.24%,500,"100,684","42,852",366,0.85,-6.88,-10.50
1202,KODEX KRX기후변화솔루션,"13,045",200,+1.56%,0,"5,442","2,800",365,0.00,N/A,N/A
1203,미래에셋 KRX금현물 Auto-KO-C 2312-01 ETN,"12,125",30,-0.25%,0,"2,221","3,000",364,0.00,N/A,N/A
1204,KOSEF 릭소글로벌퓨처모빌리티MSCI,"10,690",55,-0.51%,0,260,"3,400",363,0.00,N/A,N/A
1205,TRUE 인버스 2X 나스닥 100 ETN,"1,210",40,-3.20%,0,"1,111,621","30,000",363,0.04,N/A,N/A
1206,HANARO 200선물레버리지,"19,050",305,+1.63%,0,817,"1,900",362,0.00,N/A,N/A
1207,TIGER 미국나스닥바이오,"19,195",45,-0.23%,0,"8,566","1,880",361,0.05,N/A,N/A
1208,SUN&L,"2,855",25,-0.87%,"1,000","18,625","12,608",360,0.56,-1.09,-11.08
1209,한창,453,0,0.00%,500,"1,175,518","79,396",360,1.11,-4.12,-25.34
1210,TIGER 일본TOPIX(합성 H),"18,905",245,+1.31%,0,"136,218","1,900",359,0.00,N/A,N/A
1211,하나 레버리지 콩 선물 ETN(H),"35,490","2,085",-5.55%,0,"6,550","1,000",355,0.00,N/A,N/A
1212,KODEX 유럽탄소배출권선물ICE(H),"13,270",95,-0.71%,0,"47,357","2,670",354,0.81,N/A,N/A
1213,QV S&P500 버퍼10% 9월 ETN,"11,775",0,0.00%,0,0,"3,000",353,0.00,N/A,N/A
1214,신풍,"1,007",7,+0.70%,500,"70,260","34,959",352,0.80,-7.14,-8.89
1215,QV 코스피 200 ETN,"35,185",635,+1.84%,0,7,"1,000",352,0.00,N/A,N/A
1216,한국주강,"3,110",0,0.00%,500,"72,945","11,309",352,4.86,-222.14,5.95
1217,KB 천연가스 선물 ETN(H),"7,025",190,-2.63%,0,"31,545","5,000",351,0.00,N/A,N/A
1218,한솔PNS,"1,709",14,+0.83%,500,"109,403","20,493",350,1.87,63.30,4.02
1219,KODEX WTI원유선물인버스(H),"4,825",75,-1.53%,0,"768,461","7,250",350,0.14,N/A,N/A
1220,TIGER 미국나스닥100레버리지(합성),"11,745",100,+0.86%,0,"67,821","2,950",346,0.31,N/A,N/A
1221,대신343 K200,"34,580",290,+0.85%,0,26,"1,000",346,0.00,N/A,N/A
1222,신한 구리 선물 ETN(H),"17,125",260,+1.54%,0,"70,044","2,000",342,0.00,N/A,N/A
1223,ACE 중장기국공채액티브,"97,935",335,+0.34%,0,58,349,342,0.00,N/A,N/A
1224,한성기업,"5,480",100,-1.79%,"5,000","27,146","6,210",340,1.51,39.42,2.92
1225,TIGER 미국배당+7%프리미엄다우존스,"10,060",75,-0.74%,0,"294,722","3,350",337,0.00,N/A,N/A
1226,KODEX 인도Nifty50레버리지(합성),"11,230",10,-0.09%,0,"2,814","3,000",337,0.00,N/A,N/A
1227,TIGER 200 헬스케어,"15,725",260,+1.68%,0,"26,426","2,140",337,0.00,N/A,N/A
1228,KOSEF 미국달러선물,"13,900",145,-1.03%,0,"4,088","2,420",336,0.19,N/A,N/A
1229,유안타증권우,"2,605",5,-0.19%,"5,000","6,735","12,912",336,0.27,11.63,N/A
1230,삼성 레버리지 China A50 선물 ETN(H),"33,440","1,325",+4.13%,0,333,"1,000",334,0.00,N/A,N/A
1231,삼성 미국 대형 가치주 ETN(H),"16,670",0,0.00%,0,0,"2,000",333,0.00,N/A,N/A
1232,메리츠 레버리지 미국채30년 ETN(H),"6,665",70,+1.06%,0,"47,095","5,000",333,0.00,N/A,N/A
1233,KBSTAR 게임테마,"9,635",255,+2.72%,0,"12,635","3,450",332,0.09,N/A,N/A
1234,신한 레버리지 다우존스지수 선물 ETN(H),"33,155",235,+0.71%,0,"1,891","1,000",332,0.00,N/A,N/A
1235,ACE 200TR,"21,880",190,+0.88%,0,488,"1,500",328,100.00,N/A,N/A
1236,대교우B,"1,689",2,+0.12%,500,"77,421","19,427",328,2.91,-1.40,N/A
1237,진도,"2,630",0,0.00%,500,"31,842","12,448",327,2.73,7.41,4.46
1238,HANARO Fn조선해운,"12,245",180,+1.49%,0,"279,899","2,650",324,0.05,N/A,N/A
1239,TIGER 200IT레버리지,"43,265","1,030",+2.44%,0,"5,125",750,324,0.00,N/A,N/A
1240,KODEX 차이나심천ChiNext(합성),"9,340",15,+0.16%,0,"3,598","3,459",323,0.00,N/A,N/A
1241,체시스,997,0,0.00%,500,"71,031","32,000",319,3.03,-8.38,-15.16
1242,TIGER 골드선물(H),"13,530",125,+0.93%,0,"8,741","2,350",318,0.50,N/A,N/A
1243,삼성 레버리지 금 선물 ETN(H),"31,790",595,+1.91%,0,"1,476","1,000",318,0.00,N/A,N/A
1244,SHD,"26,000",50,-0.19%,"5,000","4,918","1,215",316,0.23,3.41,23.51
1245,KODEX 미국나스닥100(H),"12,565",170,+1.37%,0,"63,939","2,500",314,0.33,N/A,N/A
1246,ACE 미국30년국채선물레버리지(합성 H),"8,235",80,+0.98%,0,"105,729","3,800",313,0.00,N/A,N/A
1247,TIGER 미국채30년스트립액티브(합성 H),"50,770",195,+0.39%,0,"28,431",616,313,0.21,N/A,N/A
1248,대한항공우,"28,150",250,-0.88%,"5,000","2,066","1,111",313,1.19,7.19,N/A
1249,KODEX 미국달러선물레버리지,"11,915",220,-1.81%,0,"101,007","2,620",312,0.00,N/A,N/A
1250,KODEX 200ESG,"12,400",80,+0.65%,0,129,"2,500",310,0.00,N/A,N/A
1251,삼성 China A50 선물 ETN(H),"15,465",295,+1.94%,0,31,"2,000",309,0.00,N/A,N/A
1252,BYC우,"143,400",900,+0.63%,"5,000",112,215,309,0.00,3.39,N/A
1253,ARIRANG 미국장기우량회사채,"84,555",90,+0.11%,0,"1,034",361,305,0.00,N/A,N/A
1254,KODEX 미국채10년선물,"10,895",20,-0.18%,0,"31,190","2,800",305,0.37,N/A,N/A
1255,삼성 인버스 2X 나스닥 100 ETN(H),"4,355",125,-2.79%,0,"283,854","7,000",305,0.00,N/A,N/A
1256,롯데지주우,"37,600",900,+2.45%,200,686,806,303,0.16,32.92,N/A
1257,메리츠 KAP 통안채 6개월 ETN,"50,220",0,0.00%,0,0,600,301,0.00,N/A,N/A
1258,KBSTAR 배터리 리사이클링iSelect,"15,235",135,+0.89%,0,"27,734","1,960",299,0.15,N/A,N/A
1259,신한 콩 선물 ETN(H),"14,860",435,-2.84%,0,41,"2,000",297,0.00,N/A,N/A
1260,TIGER S&P글로벌헬스케어(합성),"19,260",200,-1.03%,0,"4,502","1,540",297,0.00,N/A,N/A
1261,두산퓨얼셀2우B,"9,900",80,+0.81%,100,"3,285","2,986",296,0.12,93.40,N/A
1262,TIGER 차이나클린에너지SOLACTIVE,"7,315",5,+0.07%,0,"5,271","4,040",296,1.00,N/A,N/A
1263,TIGER 리츠부동산인프라채권TR KIS,"4,870",50,+1.04%,0,"14,077","6,050",295,0.00,N/A,N/A
1264,삼성 블룸버그 레버리지 WTI원유 선물 ETN,"11,710",250,+2.18%,0,"6,142","2,500",293,0.00,N/A,N/A
1265,모두투어리츠,"3,740",30,-0.80%,"5,000","18,350","7,827",293,0.14,2.80,N/A
1266,신한 금 선물 ETN(H),"14,600",130,+0.90%,0,"4,901","2,000",292,0.00,N/A,N/A
1267,하나 Solactive US Tech Top 10 ETN(H),"14,550",0,0.00%,0,0,"2,000",291,0.00,N/A,N/A
1268,TIGER 미국S&P500배당귀족,"10,370",70,-0.67%,0,"17,272","2,800",290,2.01,N/A,N/A
1269,KODEX KRX300,"16,110",110,+0.69%,0,"5,875","1,800",290,0.00,N/A,N/A
1270,TIGER 200TR,"19,070",170,+0.90%,0,923,"1,500",286,0.01,N/A,N/A
1271,카프로,714,6,-0.83%,500,"118,367","40,000",286,3.76,-0.16,-244.03
1272,ACE 미국친환경그린테마INDXX,"10,555",20,-0.19%,0,"2,815","2,700",285,0.05,N/A,N/A
1273,TIGER 원유선물Enhanced(H),"4,160",60,+1.46%,0,"177,672","6,850",285,2.98,N/A,N/A
1274,ARIRANG 미국나스닥테크,"24,775",65,-0.26%,0,"5,996","1,150",285,0.00,N/A,N/A
1275,제이준코스메틱,"6,350",20,-0.31%,500,"3,592","4,485",285,0.00,-1.14,-42.29
1276,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,"28,365",535,+1.92%,0,16,"1,000",284,0.00,N/A,N/A
1277,KODEX 유럽명품TOP10 STOXX,"9,445",75,+0.80%,0,"24,675","3,000",283,0.00,N/A,N/A
1278,TRUE 인버스 0.5X S&P500 VIX S/T 선물 ETN,"28,275",455,+1.64%,0,34,"1,000",283,0.00,N/A,N/A
1279,KODEX K-미래차액티브,"10,650",65,+0.61%,0,"10,986","2,650",282,0.32,N/A,N/A
1280,미래에셋 중국 심천 100 ETN,"14,105",45,-0.32%,0,5,"2,000",282,0.00,N/A,N/A
1281,HANARO Fn전기&수소차,"9,700",25,+0.26%,0,"2,294","2,900",281,0.08,N/A,N/A
1282,삼성 KRX 금현물 ETN,"14,040",0,0.00%,0,0,"2,000",281,0.00,N/A,N/A
1283,TIGER 인도니프티50레버리지(합성),"27,510",200,-0.72%,0,"4,813","1,020",281,0.00,N/A,N/A
